TimeStamp,ArbType,BidSum,AskSum,EffectiveBidSum,EffectiveAskSum,TotalFee,ArbExistsAfterVWAP,ArbExistsAfterVWAPAndFees,BidBookJson,AskBookJson
2026-08-07T11:42:22.7544074Z,ASK,0.101,0.579,,1.0553534,0.0254048,False,False,"[{""0.003"":31.36,""0.007"":9,""0.008"":8.19,""0.065"":30,""0.09"":200,""0.091"":30.49,""0.097"":102,""0.098"":119.47,""0.1"":534.04,""0.101"":81},{""0.001"":199},{""0.001"":61.95,""0.002"":6.4,""0.004"":19.51},{""0.001"":88.5,""0.002"":38.88,""0.003"":27.55,""0.004"":8.48,""0.007"":8,""0.008"":7.92,""0.039"":5},{""0.001"":2903.99,""0.002"":406,""0.003"":447.4,""0.004"":265,""0.005"":230},{""0.003"":115},{""0.001"":2057.41},{""0.001"":2673.92,""0.002"":378,""0.003"":466.46,""0.004"":101.4,""0.005"":266.8,""0.006"":270.2,""0.007"":76.96},{},{""0.001"":2533.97,""0.002"":5089.98,""0.003"":800,""0.004"":105.04},{""0.001"":130.54},{},{""0.001"":2303.65,""0.002"":325},{""0.001"":3276.9,""0.002"":1724.8,""0.003"":442.68}]","[{""0.164"":30,""0.165"":256.47,""0.223"":79.08,""0.336"":84.99,""0.337"":5.66,""0.338"":75.92,""0.349"":5,""0.945"":5.9,""0.946"":6,""0.949"":19.6},{""0.005"":5,""0.01"":5,""0.019"":29.9,""0.02"":100,""0.03"":100,""0.099"":164.1,""0.1"":5,""0.2"":5,""0.5"":5,""0.923"":125},{""0.076"":15,""0.166"":100,""0.167"":25,""0.19"":10,""0.423"":20,""0.436"":29.07,""0.872"":10,""0.873"":9.92,""0.874"":7.2,""0.875"":49.28},{""0.198"":11.07,""0.199"":5.76,""0.2"":17.86,""0.79"":5,""0.848"":8.76,""0.849"":16.1,""0.85"":17,""0.895"":85,""0.896"":92,""0.897"":75},{""0.01"":213,""0.011"":6.95,""0.012"":156,""0.411"":100,""0.412"":10,""0.704"":13.6,""0.89"":85,""0.891"":13.46,""0.892"":51,""0.894"":50},{""0.007"":194.02,""0.012"":155.99,""0.018"":10,""0.842"":5,""0.843"":8.47,""0.844"":24.2,""0.845"":7.84,""0.896"":85,""0.897"":150,""0.967"":150},{""0.007"":99.99,""0.008"":17.6,""0.009"":14.9,""0.01"":55.29,""0.012"":98.58,""0.858"":10,""0.859"":5.96,""0.86"":6,""0.888"":75,""0.889"":5.55},{""0.012"":266.06,""0.936"":50,""0.943"":195,""0.944"":29.45,""0.945"":30,""0.984"":5,""0.988"":18.01,""0.989"":90,""0.995"":400,""0.996"":15.22},{""0.001"":25,""0.007"":100,""0.008"":18.6,""0.012"":155,""0.878"":40,""0.879"":11.76,""0.881"":24,""0.949"":195,""0.95"":20,""0.999"":536.04},{""0.012"":129.59,""0.199"":100,""0.2"":31.25,""0.89"":85,""0.891"":13.79,""0.893"":50,""0.965"":150,""0.966"":8.58,""0.968"":30,""0.976"":5},{""0.009"":100,""0.01"":136.94,""0.012"":25.45,""0.789"":13.47,""0.79"":5.6,""0.893"":85,""0.894"":51,""0.919"":50,""0.92"":5,""0.947"":100},{""0.01"":216.2,""0.012"":152.94,""0.864"":10,""0.865"":10,""0.866"":10.03,""0.971"":195,""0.972"":16.09,""0.974"":117,""0.982"":5,""0.988"":5.92},{""0.01"":100,""0.011"":5,""0.012"":156,""0.879"":40,""0.88"":11.88,""0.882"":24,""0.946"":50,""0.949"":145,""0.95"":20,""0.995"":400},{""0.008"":390.92,""0.015"":6,""0.788"":46.07,""0.789"":5.58,""0.814"":12.7,""0.938"":50,""0.958"":130,""0.959"":30,""0.962"":14.62,""0.978"":5}]"
2026-08-07T11:42:24.9556144Z,ASK,0.101,0.579,,1.0613634,0.0256903,False,False,"[{""0.003"":31.36,""0.007"":9,""0.008"":8.19,""0.065"":30,""0.09"":200,""0.091"":30.49,""0.097"":102,""0.098"":119.47,""0.1"":534.04,""0.101"":81},{""0.001"":199},{""0.001"":61.95,""0.002"":6.4,""0.004"":19.51},{""0.001"":88.5,""0.002"":38.88,""0.003"":27.55,""0.004"":8.48,""0.007"":8,""0.008"":7.92,""0.039"":5},{""0.001"":2903.99,""0.002"":406,""0.003"":447.4,""0.004"":265,""0.005"":230},{""0.003"":115},{""0.001"":2057.41},{""0.001"":2673.92,""0.002"":378,""0.003"":466.46,""0.004"":101.4,""0.005"":266.8,""0.006"":270.2,""0.007"":76.96},{},{""0.001"":2533.97,""0.002"":5089.98,""0.003"":800,""0.004"":105.04},{""0.001"":130.54},{},{""0.001"":2303.65,""0.002"":325},{""0.001"":3276.9,""0.002"":1724.8,""0.003"":442.68}]","[{""0.164"":30,""0.165"":256.47,""0.223"":79.08,""0.336"":84.99,""0.337"":5.66,""0.338"":75.92,""0.349"":5,""0.945"":5.9,""0.946"":6,""0.949"":19.6},{""0.005"":5,""0.01"":5,""0.019"":29.9,""0.03"":100,""0.099"":164.1,""0.1"":5,""0.2"":5,""0.5"":5,""0.923"":125,""0.924"":20.9},{""0.076"":15,""0.166"":100,""0.167"":25,""0.19"":10,""0.423"":20,""0.436"":29.07,""0.872"":10,""0.873"":9.92,""0.874"":7.2,""0.875"":49.28},{""0.198"":11.07,""0.199"":5.76,""0.2"":17.86,""0.79"":5,""0.848"":8.76,""0.849"":16.1,""0.85"":17,""0.895"":85,""0.896"":92,""0.897"":75},{""0.01"":213,""0.011"":6.95,""0.012"":156,""0.411"":100,""0.412"":10,""0.704"":13.6,""0.89"":85,""0.891"":13.46,""0.892"":51,""0.894"":50},{""0.007"":194.02,""0.012"":155.99,""0.018"":10,""0.842"":5,""0.843"":8.47,""0.844"":24.2,""0.845"":7.84,""0.896"":85,""0.897"":150,""0.967"":150},{""0.007"":99.99,""0.008"":17.6,""0.009"":14.9,""0.01"":55.29,""0.012"":98.58,""0.858"":10,""0.859"":5.96,""0.86"":6,""0.888"":75,""0.889"":5.55},{""0.012"":266.06,""0.936"":50,""0.943"":195,""0.944"":29.45,""0.945"":30,""0.984"":5,""0.988"":18.01,""0.989"":90,""0.995"":400,""0.996"":15.22},{""0.001"":25,""0.007"":100,""0.008"":18.6,""0.012"":155,""0.878"":40,""0.879"":11.76,""0.881"":24,""0.949"":195,""0.95"":20,""0.999"":536.04},{""0.012"":129.59,""0.199"":100,""0.2"":31.25,""0.89"":85,""0.891"":13.79,""0.893"":50,""0.965"":150,""0.966"":8.58,""0.968"":30,""0.976"":5},{""0.009"":100,""0.01"":136.94,""0.012"":25.45,""0.789"":13.47,""0.79"":5.6,""0.893"":85,""0.894"":51,""0.919"":50,""0.92"":5,""0.947"":100},{""0.01"":216.2,""0.012"":152.94,""0.864"":10,""0.865"":10,""0.866"":10.03,""0.971"":195,""0.972"":16.09,""0.974"":117,""0.982"":5,""0.988"":5.92},{""0.01"":100,""0.011"":5,""0.012"":156,""0.879"":40,""0.88"":11.88,""0.882"":24,""0.946"":50,""0.949"":145,""0.95"":20,""0.995"":400},{""0.008"":390.92,""0.015"":6,""0.788"":46.07,""0.789"":5.58,""0.814"":12.7,""0.938"":50,""0.958"":130,""0.959"":30,""0.962"":14.62,""0.978"":5}]"
2026-08-07T11:42:25.3674960Z,ASK,0.101,0.578,,1.0538524,0.0253325,False,False,"[{""0.003"":31.36,""0.007"":9,""0.008"":8.19,""0.065"":30,""0.09"":200,""0.091"":30.49,""0.097"":102,""0.098"":119.47,""0.1"":534.04,""0.101"":81},{""0.001"":199},{""0.001"":61.95,""0.002"":6.4,""0.004"":19.51},{""0.001"":88.5,""0.002"":38.88,""0.003"":27.55,""0.004"":8.48,""0.007"":8,""0.008"":7.92,""0.039"":5},{""0.001"":2903.99,""0.002"":406,""0.003"":447.4,""0.004"":265,""0.005"":230},{""0.003"":115},{""0.001"":2057.41},{""0.001"":2673.92,""0.002"":378,""0.003"":466.46,""0.004"":101.4,""0.005"":266.8,""0.006"":270.2,""0.007"":76.96},{},{""0.001"":2533.97,""0.002"":5089.98,""0.003"":800,""0.004"":105.04},{""0.001"":130.54},{},{""0.001"":2303.65,""0.002"":325},{""0.001"":3276.9,""0.002"":1724.8,""0.003"":442.68}]","[{""0.164"":30,""0.165"":256.47,""0.223"":79.08,""0.336"":84.99,""0.337"":5.66,""0.338"":75.92,""0.349"":5,""0.945"":5.9,""0.946"":6,""0.949"":19.6},{""0.005"":5,""0.01"":5,""0.018"":100,""0.019"":29.9,""0.03"":100,""0.099"":164.1,""0.1"":5,""0.2"":5,""0.5"":5,""0.923"":125},{""0.076"":15,""0.166"":100,""0.167"":25,""0.19"":10,""0.423"":20,""0.436"":29.07,""0.872"":10,""0.873"":9.92,""0.874"":7.2,""0.875"":49.28},{""0.198"":11.07,""0.199"":5.76,""0.2"":17.86,""0.79"":5,""0.848"":8.76,""0.849"":16.1,""0.85"":17,""0.895"":85,""0.896"":92,""0.897"":75},{""0.01"":213,""0.011"":6.95,""0.012"":156,""0.411"":100,""0.412"":10,""0.704"":13.6,""0.89"":85,""0.891"":13.46,""0.892"":51,""0.894"":50},{""0.007"":194.02,""0.012"":155.99,""0.018"":10,""0.842"":5,""0.843"":8.47,""0.844"":24.2,""0.845"":7.84,""0.896"":85,""0.897"":150,""0.967"":150},{""0.007"":99.99,""0.008"":17.6,""0.009"":14.9,""0.01"":55.29,""0.012"":98.58,""0.858"":10,""0.859"":5.96,""0.86"":6,""0.888"":75,""0.889"":5.55},{""0.012"":266.06,""0.936"":50,""0.943"":195,""0.944"":29.45,""0.945"":30,""0.984"":5,""0.988"":18.01,""0.989"":90,""0.995"":400,""0.996"":15.22},{""0.001"":25,""0.007"":100,""0.008"":18.6,""0.012"":155,""0.878"":40,""0.879"":11.76,""0.881"":24,""0.949"":195,""0.95"":20,""0.999"":536.04},{""0.012"":129.59,""0.199"":100,""0.2"":31.25,""0.89"":85,""0.891"":13.79,""0.893"":50,""0.965"":150,""0.966"":8.58,""0.968"":30,""0.976"":5},{""0.009"":100,""0.01"":136.94,""0.012"":25.45,""0.789"":13.47,""0.79"":5.6,""0.893"":85,""0.894"":51,""0.919"":50,""0.92"":5,""0.947"":100},{""0.01"":216.2,""0.012"":152.94,""0.864"":10,""0.865"":10,""0.866"":10.03,""0.971"":195,""0.972"":16.09,""0.974"":117,""0.982"":5,""0.988"":5.92},{""0.01"":100,""0.011"":5,""0.012"":156,""0.879"":40,""0.88"":11.88,""0.882"":24,""0.946"":50,""0.949"":145,""0.95"":20,""0.995"":400},{""0.008"":390.92,""0.015"":6,""0.788"":46.07,""0.789"":5.58,""0.814"":12.7,""0.938"":50,""0.958"":130,""0.959"":30,""0.962"":14.62,""0.978"":5}]"
2026-08-07T11:42:25.7730306Z,ASK,0.101,0.578,,1.0538524,0.0253325,False,False,"[{""0.003"":31.36,""0.007"":9,""0.008"":8.19,""0.065"":30,""0.09"":200,""0.091"":30.49,""0.097"":102,""0.098"":119.47,""0.1"":534.04,""0.101"":81},{""0.001"":199},{""0.001"":61.95,""0.002"":6.4,""0.004"":19.51},{""0.001"":88.5,""0.002"":38.88,""0.003"":27.55,""0.004"":8.48,""0.007"":8,""0.008"":7.92,""0.039"":5},{""0.001"":2903.99,""0.002"":406,""0.003"":447.4,""0.004"":265,""0.005"":230},{""0.003"":115},{""0.001"":2057.41},{""0.001"":2673.92,""0.002"":378,""0.003"":466.46,""0.004"":101.4,""0.005"":266.8,""0.006"":270.2,""0.007"":76.96},{},{""0.001"":2533.97,""0.002"":5089.98,""0.003"":800,""0.004"":105.04},{""0.001"":130.54},{},{""0.001"":2303.65,""0.002"":325},{""0.001"":3276.9,""0.002"":1724.8,""0.003"":442.68}]","[{""0.164"":30,""0.165"":256.47,""0.223"":79.08,""0.336"":84.99,""0.337"":5.66,""0.338"":75.92,""0.349"":5,""0.945"":5.9,""0.946"":6,""0.949"":19.6},{""0.005"":5,""0.01"":5,""0.018"":100,""0.029"":29.9,""0.03"":100,""0.099"":164.1,""0.1"":5,""0.2"":5,""0.5"":5,""0.923"":125},{""0.076"":15,""0.166"":100,""0.19"":10,""0.423"":20,""0.436"":29.07,""0.872"":10,""0.873"":9.92,""0.874"":7.2,""0.875"":49.28,""0.876"":41.4},{""0.198"":11.07,""0.199"":5.76,""0.2"":17.86,""0.79"":5,""0.848"":8.76,""0.849"":16.1,""0.85"":17,""0.895"":85,""0.896"":92,""0.897"":75},{""0.01"":213,""0.011"":6.95,""0.012"":156,""0.411"":100,""0.412"":10,""0.704"":13.6,""0.89"":85,""0.891"":13.46,""0.892"":51,""0.894"":50},{""0.007"":194.02,""0.012"":155.99,""0.018"":10,""0.842"":5,""0.843"":8.47,""0.844"":24.2,""0.845"":7.84,""0.896"":85,""0.897"":150,""0.967"":150},{""0.007"":99.99,""0.008"":17.6,""0.009"":14.9,""0.01"":55.29,""0.012"":98.58,""0.858"":10,""0.859"":5.96,""0.86"":6,""0.888"":75,""0.889"":5.55},{""0.012"":266.06,""0.936"":50,""0.943"":195,""0.944"":29.45,""0.945"":30,""0.984"":5,""0.988"":18.01,""0.989"":90,""0.995"":400,""0.996"":15.22},{""0.001"":25,""0.007"":100,""0.008"":18.6,""0.012"":155,""0.878"":40,""0.879"":11.76,""0.881"":24,""0.949"":195,""0.95"":20,""0.999"":536.04},{""0.012"":129.59,""0.199"":100,""0.2"":31.25,""0.89"":85,""0.891"":13.79,""0.893"":50,""0.965"":150,""0.966"":8.58,""0.968"":30,""0.976"":5},{""0.009"":100,""0.01"":136.94,""0.012"":25.45,""0.789"":13.47,""0.79"":5.6,""0.893"":85,""0.894"":51,""0.919"":50,""0.92"":5,""0.947"":100},{""0.01"":216.2,""0.012"":152.94,""0.864"":10,""0.865"":10,""0.866"":10.03,""0.971"":195,""0.972"":16.09,""0.974"":117,""0.982"":5,""0.988"":5.92},{""0.01"":100,""0.011"":5,""0.012"":156,""0.879"":40,""0.88"":11.88,""0.882"":24,""0.946"":50,""0.949"":145,""0.95"":20,""0.995"":400},{""0.008"":390.92,""0.015"":6,""0.788"":46.07,""0.789"":5.58,""0.814"":12.7,""0.938"":50,""0.958"":130,""0.959"":30,""0.962"":14.62,""0.978"":5}]"
2026-08-07T11:42:26.6951733Z,ASK,0.101,0.578,,1.1924572,0.0280071,False,False,"[{""0.003"":31.36,""0.007"":9,""0.008"":8.19,""0.065"":30,""0.09"":200,""0.091"":30.49,""0.097"":102,""0.098"":119.47,""0.1"":534.04,""0.101"":81},{""0.001"":199},{""0.001"":61.95,""0.002"":6.4,""0.004"":19.51},{""0.001"":88.5,""0.002"":38.88,""0.003"":27.55,""0.004"":8.48,""0.007"":8,""0.008"":7.92,""0.039"":5},{""0.001"":2903.99,""0.002"":406,""0.003"":447.4,""0.004"":265,""0.005"":230},{""0.003"":115},{""0.001"":2057.41},{""0.001"":2673.92,""0.002"":378,""0.003"":466.46,""0.004"":101.4,""0.005"":266.8,""0.006"":270.2,""0.007"":76.96},{},{""0.001"":2533.97,""0.002"":5089.98,""0.003"":800,""0.004"":105.04},{""0.001"":130.54},{},{""0.001"":2303.65,""0.002"":325},{""0.001"":3276.9,""0.002"":1724.8,""0.003"":442.68}]","[{""0.164"":30,""0.165"":256.47,""0.223"":79.08,""0.336"":84.99,""0.337"":5.66,""0.338"":75.92,""0.349"":5,""0.945"":5.9,""0.946"":6,""0.949"":19.6},{""0.005"":5,""0.01"":5,""0.018"":100,""0.029"":29.9,""0.03"":100,""0.099"":164.1,""0.1"":5,""0.2"":5,""0.5"":5,""0.923"":125},{""0.076"":15,""0.165"":25,""0.19"":10,""0.423"":20,""0.436"":29.07,""0.872"":10,""0.873"":9.92,""0.874"":7.2,""0.875"":49.28,""0.876"":41.4},{""0.198"":11.07,""0.199"":5.76,""0.2"":17.86,""0.79"":5,""0.848"":8.76,""0.849"":16.1,""0.85"":17,""0.895"":85,""0.896"":92,""0.897"":75},{""0.01"":213,""0.011"":6.95,""0.012"":156,""0.411"":100,""0.412"":10,""0.704"":13.6,""0.89"":85,""0.891"":13.46,""0.892"":51,""0.894"":50},{""0.007"":194.02,""0.012"":155.99,""0.018"":10,""0.842"":5,""0.843"":8.47,""0.844"":24.2,""0.845"":7.84,""0.896"":85,""0.897"":150,""0.967"":150},{""0.007"":99.99,""0.008"":17.6,""0.009"":14.9,""0.01"":55.29,""0.012"":98.58,""0.858"":10,""0.859"":5.96,""0.86"":6,""0.888"":75,""0.889"":5.55},{""0.012"":266.06,""0.936"":50,""0.943"":195,""0.944"":29.45,""0.945"":30,""0.984"":5,""0.988"":18.01,""0.989"":90,""0.995"":400,""0.996"":15.22},{""0.001"":25,""0.007"":100,""0.008"":18.6,""0.012"":155,""0.878"":40,""0.879"":11.76,""0.881"":24,""0.949"":195,""0.95"":20,""0.999"":536.04},{""0.012"":129.59,""0.199"":100,""0.2"":31.25,""0.89"":85,""0.891"":13.79,""0.893"":50,""0.965"":150,""0.966"":8.58,""0.968"":30,""0.976"":5},{""0.009"":100,""0.01"":136.94,""0.012"":25.45,""0.789"":13.47,""0.79"":5.6,""0.893"":85,""0.894"":51,""0.919"":50,""0.92"":5,""0.947"":100},{""0.01"":216.2,""0.012"":152.94,""0.864"":10,""0.865"":10,""0.866"":10.03,""0.971"":195,""0.972"":16.09,""0.974"":117,""0.982"":5,""0.988"":5.92},{""0.01"":100,""0.011"":5,""0.012"":156,""0.879"":40,""0.88"":11.88,""0.882"":24,""0.946"":50,""0.949"":145,""0.95"":20,""0.995"":400},{""0.008"":390.92,""0.015"":6,""0.788"":46.07,""0.789"":5.58,""0.814"":12.7,""0.938"":50,""0.958"":130,""0.959"":30,""0.962"":14.62,""0.978"":5}]"
2026-08-07T11:42:26.9728942Z,ASK,0.101,0.577,,1.0518534,0.0252611,False,False,"[{""0.003"":31.36,""0.007"":9,""0.008"":8.19,""0.065"":30,""0.09"":200,""0.091"":30.49,""0.097"":102,""0.098"":119.47,""0.1"":534.04,""0.101"":81},{""0.001"":199},{""0.001"":61.95,""0.002"":6.4,""0.004"":19.51},{""0.001"":88.5,""0.002"":38.88,""0.003"":27.55,""0.004"":8.48,""0.007"":8,""0.008"":7.92,""0.039"":5},{""0.001"":2903.99,""0.002"":406,""0.003"":447.4,""0.004"":265,""0.005"":230},{""0.003"":115},{""0.001"":2057.41},{""0.001"":2673.92,""0.002"":378,""0.003"":466.46,""0.004"":101.4,""0.005"":266.8,""0.006"":270.2,""0.007"":76.96},{},{""0.001"":2533.97,""0.002"":5089.98,""0.003"":800,""0.004"":105.04},{""0.001"":130.54},{},{""0.001"":2303.65,""0.002"":325},{""0.001"":3276.9,""0.002"":1724.8,""0.003"":442.68}]","[{""0.164"":30,""0.165"":256.47,""0.223"":79.08,""0.336"":84.99,""0.337"":5.66,""0.338"":75.92,""0.349"":5,""0.945"":5.9,""0.946"":6,""0.949"":19.6},{""0.005"":5,""0.01"":5,""0.017"":29.9,""0.018"":100,""0.03"":100,""0.099"":164.1,""0.1"":5,""0.2"":5,""0.5"":5,""0.923"":125},{""0.076"":15,""0.164"":100,""0.165"":25,""0.19"":10,""0.423"":20,""0.436"":29.07,""0.872"":10,""0.873"":9.92,""0.874"":7.2,""0.875"":49.28},{""0.198"":11.07,""0.199"":5.76,""0.2"":17.86,""0.79"":5,""0.848"":8.76,""0.849"":16.1,""0.85"":17,""0.895"":85,""0.896"":92,""0.897"":75},{""0.01"":213,""0.011"":6.95,""0.012"":156,""0.411"":100,""0.412"":10,""0.704"":13.6,""0.89"":85,""0.891"":13.46,""0.892"":51,""0.894"":50},{""0.007"":194.02,""0.012"":155.99,""0.018"":10,""0.842"":5,""0.843"":8.47,""0.844"":24.2,""0.845"":7.84,""0.896"":85,""0.897"":150,""0.967"":150},{""0.007"":99.99,""0.008"":17.6,""0.009"":14.9,""0.01"":55.29,""0.012"":98.58,""0.858"":10,""0.859"":5.96,""0.86"":6,""0.888"":75,""0.889"":5.55},{""0.012"":266.06,""0.936"":50,""0.943"":195,""0.944"":29.45,""0.945"":30,""0.984"":5,""0.988"":18.01,""0.989"":90,""0.995"":400,""0.996"":15.22},{""0.001"":25,""0.007"":100,""0.008"":18.6,""0.012"":155,""0.878"":40,""0.879"":11.76,""0.881"":24,""0.949"":195,""0.95"":20,""0.999"":536.04},{""0.012"":129.59,""0.199"":100,""0.2"":31.25,""0.89"":85,""0.891"":13.79,""0.893"":50,""0.965"":150,""0.966"":8.58,""0.968"":30,""0.976"":5},{""0.009"":100,""0.01"":136.94,""0.012"":25.45,""0.789"":13.47,""0.79"":5.6,""0.893"":85,""0.894"":51,""0.919"":50,""0.92"":5,""0.947"":100},{""0.01"":216.2,""0.012"":152.94,""0.864"":10,""0.865"":10,""0.866"":10.03,""0.971"":195,""0.972"":16.09,""0.974"":117,""0.982"":5,""0.988"":5.92},{""0.01"":100,""0.011"":5,""0.012"":156,""0.879"":40,""0.88"":11.88,""0.882"":24,""0.946"":50,""0.949"":145,""0.95"":20,""0.995"":400},{""0.008"":390.92,""0.015"":6,""0.788"":46.07,""0.789"":5.58,""0.814"":12.7,""0.938"":50,""0.958"":130,""0.959"":30,""0.962"":14.62,""0.978"":5}]"
2026-08-07T11:42:30.1765484Z,ASK,0.102,0.577,,1.0518534,0.0252611,False,False,"[{""0.007"":9,""0.008"":8.19,""0.065"":30,""0.09"":200,""0.091"":30.49,""0.097"":102,""0.098"":119.47,""0.1"":534.04,""0.101"":81,""0.102"":30},{""0.001"":199},{""0.001"":61.95,""0.002"":6.4,""0.004"":19.51},{""0.001"":88.5,""0.002"":38.88,""0.003"":27.55,""0.004"":8.48,""0.007"":8,""0.008"":7.92,""0.039"":5},{""0.001"":2903.99,""0.002"":406,""0.003"":447.4,""0.004"":265,""0.005"":230},{""0.003"":115},{""0.001"":2057.41},{""0.001"":2673.92,""0.002"":378,""0.003"":466.46,""0.004"":101.4,""0.005"":266.8,""0.006"":270.2,""0.007"":76.96},{},{""0.001"":2533.97,""0.002"":5089.98,""0.003"":800,""0.004"":105.04},{""0.001"":130.54},{},{""0.001"":2303.65,""0.002"":325},{""0.001"":3276.9,""0.002"":1724.8,""0.003"":442.68}]","[{""0.164"":30,""0.165"":256.47,""0.223"":79.08,""0.336"":84.99,""0.337"":5.66,""0.338"":75.92,""0.349"":5,""0.945"":5.9,""0.946"":6,""0.949"":19.6},{""0.005"":5,""0.01"":5,""0.017"":29.9,""0.018"":100,""0.03"":100,""0.099"":164.1,""0.1"":5,""0.2"":5,""0.5"":5,""0.923"":125},{""0.076"":15,""0.164"":100,""0.165"":25,""0.19"":10,""0.423"":20,""0.436"":29.07,""0.872"":10,""0.873"":9.92,""0.874"":7.2,""0.875"":49.28},{""0.198"":11.07,""0.199"":5.76,""0.2"":17.86,""0.79"":5,""0.848"":8.76,""0.849"":16.1,""0.85"":17,""0.895"":85,""0.896"":92,""0.897"":75},{""0.01"":213,""0.011"":6.95,""0.012"":156,""0.411"":100,""0.412"":10,""0.704"":13.6,""0.89"":85,""0.891"":13.46,""0.892"":51,""0.894"":50},{""0.007"":194.02,""0.012"":155.99,""0.018"":10,""0.842"":5,""0.843"":8.47,""0.844"":24.2,""0.845"":7.84,""0.896"":85,""0.897"":150,""0.967"":150},{""0.007"":99.99,""0.008"":17.6,""0.009"":14.9,""0.01"":55.29,""0.012"":98.58,""0.858"":10,""0.859"":5.96,""0.86"":6,""0.888"":75,""0.889"":5.55},{""0.012"":266.06,""0.936"":50,""0.943"":195,""0.944"":29.45,""0.945"":30,""0.984"":5,""0.988"":18.01,""0.989"":90,""0.995"":400,""0.996"":15.22},{""0.001"":25,""0.007"":100,""0.008"":18.6,""0.012"":155,""0.878"":40,""0.879"":11.76,""0.881"":24,""0.949"":195,""0.95"":20,""0.999"":536.04},{""0.012"":129.59,""0.199"":100,""0.2"":31.25,""0.89"":85,""0.891"":13.79,""0.893"":50,""0.965"":150,""0.966"":8.58,""0.968"":30,""0.976"":5},{""0.009"":100,""0.01"":136.94,""0.012"":25.45,""0.789"":13.47,""0.79"":5.6,""0.893"":85,""0.894"":51,""0.919"":50,""0.92"":5,""0.947"":100},{""0.01"":216.2,""0.012"":152.94,""0.864"":10,""0.865"":10,""0.866"":10.03,""0.971"":195,""0.972"":16.09,""0.974"":117,""0.982"":5,""0.988"":5.92},{""0.01"":100,""0.011"":5,""0.012"":156,""0.879"":40,""0.88"":11.88,""0.882"":24,""0.946"":50,""0.949"":145,""0.95"":20,""0.995"":400},{""0.008"":390.92,""0.015"":6,""0.788"":46.07,""0.789"":5.58,""0.814"":12.7,""0.938"":50,""0.958"":130,""0.959"":30,""0.962"":14.62,""0.978"":5}]"
